text,sentiment,positive_count,negative_count
"Telling people they are beautiful 32/40

I love your hair
I love your eyes
I love your strength
I love your voice
I love your style
I love your eye lashes
I love your nose
I love your confidence
I love your forehead
I love your hands
I love your shoulders
Ilove your ears
I love your cheeks
I love your mouth
I love your personality
I love that you are brave
I love that you are kind
I love that you are strong
I love that you are you
I love that you are smart
I love that you are creative
You are beautiful
You are nice
You are confident
You are smart
You are unstoppable
You are perfect
You are unique
You are amazing
You are pretty
I love you when you're mad
I love you when you're sad
I love you when you're happy
I love you when you're anxious
I love you when you're embarrassed
I love you when you're cheerful
I love you when you're disappointed
I love you when you're at your lowest
I love you when you're at your highest
I'm proud of you for doing anything you like
I'm proud of you for setting goals I'm proud of you for getting up I'm proud of you for learning I'm proud of you for trying I'm proud of you for smiling
I'm proud of you for everything you do
I'm proud of you for spreading kindness
I'm proud of you for being you I'm proud of you no matter what
If you're insecure about yourself no because everyone is
If you're sad please try to be happy
If you feel hated no! cuz   you are loved
If you feel sad its okay because deep down you're happy if you are depressed its okay but please smile!! 
insecurities are only real because of society, so ask yourself.. ""would you be who you are right now if it weren't for them?"" and what would you say? don't hate yourself, because you are worth the world! everyone is different and that's a good thing. don't be insecure, just set goals! be yourself and learn to love who you are <3
Maybe check out my channel?",긍정,33,1
Bro..,중립,0,0
I love that she does all of it with her mom ❤,긍정,1,0
You two look like sisters and I really mean that! You’re both skin goals ❤,중립,0,0
Which one is the mom ! Please help ❤😂,중립,0,0
The one with bob and more darker hair😂​@Abby.2012,중립,0,0
"Super cozy and relaxing! 💕 Since I added  *Whiteonskinwhitening Cream*  to my routine, my face is brighter, smoother, and has that healthy glass skin glow! 💎",중립,0,0
l i n k w💕whiteonskinwhitening💕c Glow and let the world adjust!,중립,0,0
You and your mom looks so beautiful and young❤,중립,0,0
Those patches are amazing. Not only do they protect from the sun but there's all sorts of decent ingredients in there and my skin is left feeling better off than before I put them on,긍정,1,0
Your mother is so beautiful 🤩 she literally looks like a sister ❤😊,중립,0,0
She look like she's the daughter,중립,0,0
The hydrating sheet mask is also useful for giving you a perfect jawline for mewing🤫🧏🏻😂😂😂😂❤❤,긍정,1,0
Your skin is beautiful ❤,중립,0,0
"Korea is 10 years ahead of us in Skincare
Also korea is 10 years ahead in ""Crazy Beauty Standards"" & ""Raciam""",중립,0,0
Agree,중립,0,0
Pa jeet,중립,0,0
​@Moakdamkanglu,중립,0,0
The first one is like the bubble slam dunk moisturizer!!! But then it comes in a flower!!!😂❤😊,중립,0,0
This is a ‘is that your mother or your sister’ moment ❤,중립,0,0
I really love your videos 🤩,긍정,1,0
"Just want to remind everyone that you don't need all of this! Yes, they do look wonderful but genes also play a part and everyone's skin is different! Washing your face every day is more than enough!",중립,0,0
It’s about taking care of your skin so yeah some people do need it if they have acne and such things,중립,0,0
"I used to think it makes no difference, but I regretted it. If you can lay hands on them, and be consistent, they are very useful- I mean these products and even more.",중립,0,0
There skin looks like this because of filter. Let's admit it,중립,0,0
"Having a basic skin care routine is very helpful to maintain skin health. Washing your face, moisturising or oiling based on your skin type and sunscreen are really good in the long run. It's great if you can afford those for the extra care but remember overloading can make the skin breached and irritated, so understand your skin, do what it needs.",긍정,2,0
​@sucharitamitra453filter?lol😂 most of the koreans are genetically blessed with good skin or glassy skin.and they do take care the skin very well.,긍정,1,0
Your mom is absolutely beautiful and your skin is just so glowy and healthy,중립,0,0
"Your mum is so young and your products are so good 
❤",긍정,1,0
Mom is soo pretty ❤❤❤❤❤ ❤❤,중립,0,0
Your mom looks so young and beautiful ❤😊,중립,0,0
the fact they were talking abt hygiene at the starting with the cleansing balm but then proceed to show a clay mask stick that should be applied directly on our face💀😭,중립,0,0
I thought the same 😂,중립,0,0
"Exactly
I was like huhh",중립,0,0
Hahah😅 but to be fair clay masks are supposed to be applied on a fully cleansed and  clean face while cleansing balm you’re going in with your fingers and fingernails!,중립,0,0
@AylenParkgood point,중립,0,0
"@AylenPark using that logic, it’s recommended to wash your hand before using any products on your face. u wont expect the one who doesnt wash its hand before cleansing to wash their face before putting on a clay mask",중립,0,0
im sorry but are they really 10 years ahead of us? like the sexism and EXTREME beauty standards seems more like 10 years back. obviously i love korea but can we pls be realistic 🤷‍♀️,긍정,1,0
Agree,중립,0,0
Fr,중립,0,0
"This is not about sexism, and I think you stay too much social media to make judgments like that",중립,0,0
"@loisbalogh1605 looks like someone got offended
Womp womp",중립,0,0
@RinkiyaKiMummy  I have no reason to feel offended. Better response?,중립,0,0
You guys should try Indian skincare,중립,0,0
Indian skincare products aren't as good as Korean skincare,긍정,1,0
well actually Indian skincare products are natural not all but like yea and tbh their entire channel is usually about korean stuff so i just wanted to see if they can make indian skincare aesthetic too 😂😂,중립,0,0
But i like there channel😊,중립,0,0
"Don't buy these expensive cleansing balms just use coconut oil 
It's natural and have so many benefits ❤",중립,0,0
It’s also highly comedogenic leading to clogged pores,중립,0,0
Coconut oil causes break outs..,중립,0,0
Well most people can’t use coconut oil due to how the consistency is or due to allergies or sensitivities to the smell.,중립,0,0
Coconut oil causes clogged pores and is NOT safe for acne prone skin,중립,0,0
what a gorgeous products! thanks for sharing it🥰,중립,0,0
"Just stay out of the sun and/or wear sunscreen, use good daily eye cream + moisturizer, eat whole foods, don’t smoke/vape, limit alcohol, go to bed at decent time and sleep for 7-8 hrs. That will save lots of $$$ over years of not buying all these advertised products.",긍정,1,0
"Be sure to clean the surface of the cleansing balm, even if you aren't directly touching all the product, you can still get bacteria from unclean surfaces! use a isorophyll rubbing alchohol swipe to ensure sanitation <3",중립,0,0
Korea : I am always two steps ahead..,중립,0,0
You guys are drop dead gorgeous !!!❤❤❤,중립,0,0
As a korean Im very proud of my country ❤,중립,0,0
Your mom is so pretty,중립,0,0
Kbeauty is truly amazing as well as expensive,긍정,1,0
😂,중립,0,0
BTW your so pretty ❤🤩,중립,0,0
Touching cleansing products doesn’t make them less hygienic. Bacteria can’t survive on soap. Cause it’s soap. That the entire point. But the products are definitely great and comfortable to use. (They aren’t a must though),긍정,1,0
I think you've been misinformed. Bacteria and fungi can survive and thrive in cosmetic products and soap. There's plenty of research on the subject.,중립,0,0
It’s mostly facial lotions and balms that are a concern for bacteria due to dipping your fingers,중립,0,0
"Her mother is so gorgeous❤️‍🩹🤌🏻🤧🥀
She looks like she is still in her 20’s so beautiful💗💖💓",중립,0,0
Please tell me about oily and acne prone skin products a to z 😢😢😢 and smooth and glass skin,중립,0,0
"Not sure about the glass skin but as a person who now overcomes acne ( prescribed pills ) , my dermatologist recommended me : cerave normal to oily skin foaming cleanser , frezyderm ac-norm aquatic cream ( moisturizer) , la roche posay anthelios sunscreen ( very important) .",중립,0,0
"And what you eat is important for your acne , you should eat more fruit and veggies as they help overall with acne and skin wellness, and also hair!",중립,0,0
"My dermatologist prescribed me accutane, a-derma facewash cause it's soothing when you are on accutane, a-derma moisturiser which helps with acne marks as well, deriva bpo gel which is easily available over the counter too, and no dairy, refined wheat flour or processed foods, she told me to eat an orange everyday, or consume orange juice or any fruit juice if you can't have orange juice everyday. Salads and homemade food should be your go to choice now, it helps a lot.",중립,0,0
"And if you do not wish to go for accutane, just get ahaglow s facewash or benzac facewash, both are great for oily acne prone skin, another alternative will be saslic. And cosrx snail mucin for hydration",긍정,1,0
Literally mother daughter self care bestie goals. Hope my daughter and i can have this kind of relationship when shes older 😊🫶,중립,0,0
Omg are you the sun?! ❤️❤️,중립,0,0
Love y’all so much,긍정,1,0
"I think my fav is either the cleansing balm or the 
sheet masks!!!!
for anyone who needs this <3 


I love your hair
I love your eyes
I love your strength 
I love your voice
I love your style 
I love your eye lashes
I love your nose
I love your confidence 
I love your forehead 
I love your hands 
I love your shoulders 
I love your ears 
I love your cheeks 
I love your mouth
I love your personality 
I love that you are brave
I love that you are kind 
I love that you are strong 
I love that you are you
I love that you are smart
I love that you are creative 
You are beautiful
You are nice
You are confident 
You are smart
You are unstoppable 
You are perfect
You are unique 
You are amazing
You are pretty
I love you when you’re mad
I love you when you’re sad
I love you when you’re happy
I love you when you’re anxious 
I love you when you’re embarrassed 
I love you when you’re cheerful 
I love you when you’re disappointed 
I love you when you’re at your lowest
I love you when you’re at your highest 
I’m proud of you for eating
I’m proud of you for setting goals
I’m proud of you for getting up
I’m proud of you for learning 
I’m proud of you for trying 
I’m proud of you for smiling
I’m proud of you for going outside
I’m proud of you for spreading kindness 
I’m proud of you for being you
I’m proud of you no matter what
I know you’re insecure but everyone is
I know you’re not happy but your not alone
I know you’re getting bullied but don’t listen to them
I know you’re sad but try to be happy
I know you’re miserable but your still standing 
I know you feel hated but you are loved
I know you feel sad but deep down you’re happy
I know you feel disappointed but you are proud
I know you are depressed but smile!!

insecurities are only real because of society, so ask yourself.. “would you be who you are right now if it weren’t for them?” and what would you say? don’t hate yourself, because you are worth the world! everyone is different and that’s a good thing. don’t be insecure, just set goals! be yourself and learn to love who you are <3
Maybe check out my channel?",긍정,34,1
The texture of the aou lip balm 🤩💕 is stunning,중립,0,0
HELP U GUYS ARE SO PRETTY-,중립,0,0
They're so pretty ❤,중립,0,0
Ikrrr,중립,0,0
That Gua sha ring!!!!!!!!,중립,0,0
the second girl is so cutee and pretty💗🥹,중립,0,0
❤❤❤,중립,0,0
All the girlies are soo pretty,중립,0,0
like you ❤,중립,0,0
ALL I WANT IS THAT STINKING HELLO KITTY POUCH,중립,0,0
I love seeing what people use even though I don’t have access to those products 😂,긍정,1,0
Same,중립,0,0
Those bags are super cuteee,중립,0,0
Hi where to get the gua sha ring? Id love for my tension headaches! Thanks!,긍정,1,0
Hemeko!,중립,0,0
​@sarahkchey Thanks!!!🤗🖤,중립,0,0
love the color!!,긍정,1,0
HALP HOW IS RACHEL ACTUALLY SO CUTE,중립,0,0
Shes the cutesttt,중립,0,0
@sarahkchey EHEHEHHE,중립,0,0
@sarahkchey TYSM for replying xx,중립,0,0
I to try tamburins so bad but it doesn't ship worldwide,부정,0,1
Cap vibe,중립,0,0
Thanks,중립,0,0
Does it really work? The one for the smile lines,중립,0,0
Does the one for smile lines work really well?? My smile lines are my #1 insecurity and id love to get a product to cancel them out!,긍정,1,0
Does anyone know the name of the brush that the aou girlie used?,중립,0,0
"Hi guys  
Where to get tamburin perfume balm",중립,0,0
первая!!,중립,0,0
HIII,중립,0,0
"@onlydahia hii
You have great content, keep up the good work!!",긍정,2,0
Whats on your profile🥶,중립,0,0
"ого,русская!)",중립,0,0
​@ZuhaibHussainChannari thought it was yippie creature at first😭,중립,0,0
I think the lighting makes these look warmer cause in real life they look more coolish 🩷,중립,0,0
yeah i have bare grape it does not look like that at all,중립,0,0
Yeah!!😏In their real face they are also sucks-,중립,0,0
"Frrr, I was like that can't be bare grape",중립,0,0
"If someone has warm tones, should they wear lip products of cooler tones?",중립,0,0
"@kritikakunwar7107only if you want to. I would say warm toned colours do suit warm toned people the best, however, it doesn’t defy you and you can buy whatever you want!",긍정,1,0
i JUST ordered bare grape!! can’t wait to try it,중립,0,0
It's a great lip tint 🥰,긍정,1,0
ITS SO GOODDD I HOPE U LOVE IT TOO,긍정,1,0
I was gonna buy it. My grandma has it lol,중립,0,0
@xsv._.c8 oh wow really?? it’s soo goodddd,중립,0,0
@xsv._.c8 your grandma has good taste lol!!,긍정,1,0
rom&nd juicy lasting tint #33 bare vine is my favorite lip tint <5,중립,0,0
Your lippies and nails always slays😌🎀🩷✨,중립,0,0
thank you love 🩷,긍정,1,0
可愛いが詰まった色してる、、、♡,중립,0,0
"I am Korean. First of all, thank you for using our Korean cosmetics and songs.
A few years ago, there were many people who didn't know Korea at all, but now I'm happy that Korean things like BTS have become famous. I don't know if the meaning will be conveyed well using a translator. For your information, I like Lei from the girl group Ive.",중립,0,0
"🇰🇷: 우리는 정말로 한국 사람들에게 탱크를 보내야 합니다!!! 여러분은 우리가 저항할 수 없는 매우 놀라운 것들을 가지고 있습니다! 저는 여러분이 배우기 시작한 한국어에 반했습니다!! :D

🇺🇸: We really need to say thanks to the Korean people!!! You guys have so many amazing things that we can't resist! I'm in love with the Korean language that I am starting to learn it!! :D",긍정,2,0
I am proud that finally someone who understands how important BTS is for South korea ❤I am an international Army and I swear no one helped me the way BTS did💜💜they are really the most beautiful thing in my life ❤,중립,0,0
"@raginigupta3223that’s depressing. You know they won’t be around forever, right? Find healthier means of coping",중립,0,0
@prettytopia sorry but it's my life so I know what to do or what not too,중립,0,0
​@F0r3v3r_1nsp1reOriginal 진짜 고마워 지원해주셔서❤❤,중립,0,0
They are soo glossy and pretty 🎀🩰✨️,중립,0,0
these are for every undertones 🤭🩷,중립,0,0
Hiii luv ur vidss,중립,0,0
i lovee nudeish pink shadess !!,중립,0,0
@blackcurlyfriesthank youuuu,중립,0,0
@liwovxyme tooo 🥹,중립,0,0
They're pretty neutrual imo but not sure abt olive or very warm/very cool shades. I'm neutral/cool so these would def work but if you're a very warm leaning tone they might wash you out!!,중립,0,0
Ahhhhh I love the concept of fwee having 70% and 30% pigmentation. I wish their products were cheaper where I live😭😭,긍정,1,0
check on stylevana 🫶🏻🩷,중립,0,0
❤❤❤❤❤,중립,0,0
올리브영에서 fwee 는 그렇게 비싸지 않아요,중립,0,0
Very beautiful color ❤,중립,0,0
I love fwee❤,긍정,1,0
Love the romand ❤❤❤,긍정,1,0
it's so pretty 😭,중립,0,0
"It's so Beautiful 😍,",중립,0,0
The first two 😍,중립,0,0
Hey you got a new subbie!! Right here 🤭😊💗✨️🎀🐰,중립,0,0
I’m obsessed. I’m so obsessed.,중립,0,0
I have one of those,중립,0,0
I love how you don't waste alot of product like everyone else does! This is nice to watch :D,긍정,1,0
Gurl has more lipsticks than sephora and ulta combined 💀😭,중립,0,0
I Like vanilla 70 % ❤❤❤❤❤❤,중립,0,0
"i think the lighting makes these look warmer, cause i have two of the rom&nd ones with the same color and all, but it looks cooler",중립,0,0
Bare grape is my fav! It’s always sold out for me tho,중립,0,0
I like the second one,중립,0,0
sameee 🥹💗,중립,0,0
@onlydahia 💗💗💗🧸🧸🧸,중립,0,0
I Love The 2nd One,긍정,1,0
Do any of these work on darker skin tones? I love your content🩷,긍정,1,0
it does 🫶🏻 thank you for your kind words 🎀,중립,0,0
"cntikkk bgt warnanyaa, mww",중립,0,0
So Beautiful❤❤😮😮,중립,0,0
Cuteeee,중립,0,0
Nice,중립,0,0
perfect,긍정,1,0
i need those nails,중립,0,0
Nice 🎉,중립,0,0
Romand 24 is best,긍정,1,0
Colorgram - shy guava is also really nice. Best pink shade I’ve ever owned,긍정,1,0
I like vanila,중립,0,0
Packing is so pretty!,중립,0,0
These lippies look sooo cuteee!! I’m feeling lucky because i have the third lippy!,중립,0,0
Changing my fyp 1/100 ☆,중립,0,0
I want all !! 🎀🎧,중립,0,0
Wow ❤😂,중립,0,0
I love third❤,긍정,1,0
so glossy and cute,중립,0,0
Nice ❤❤,중립,0,0
These look so prettyyyy,중립,0,0
I ❤️ SOUTH KOREA 🇰🇷,중립,0,0
Cuteeeee ❤❤❤,중립,0,0
the way i own 2 of these lippies 😍,중립,0,0
1st & 2nd are my favourite shades,중립,0,0
Formulating ancient skincare and makeup was so much harder than I thought! 👀🫢 What ancient/natural beauty tips do you guys still follow?,중립,0,0
I like natural beauty tips,중립,0,0
Please tell me how to remove acne on oily skin,중립,0,0
"I still use rice water as toner ❤ sometimes when I wake up my skin will decide to hit the snooze button or call in sick. So if I have something coming up so using rice water really helps with some vitamin c lotion and sunscreen, and bam! I look refreshed. 😂",중립,0,0
"Yeast + water to make a paste and use as a face mask. After it dries on the face, wash with lukewarm water. To brighten the face.",중립,0,0
no  offense lol but isn’t ancient like super old?,중립,0,0
"We need more of these, i see so many videos if ""ancient beauty techniques"" but all they show are diy face masks this was seriously so interesting",중립,0,0
"I seriously need to get the actual tools and ingredients. Since many of you liked this video, I might try to do this in the future and even wear hanbok (our traditional clothing)🫢✨",중립,0,0
"​@krystalleeyeah girl do it, you will look bussin ✨",중립,0,0
I think I like the ancient way a little bit more💗,중립,0,0
Ty girl😍,중립,0,0
Awww..(most things used to be poisonous too),중립,0,0
​@chaerieizziehereright like why are we lying,중립,0,0
​@theyallikecarmenyou saying I am lying?,중립,0,0
@chaerieizzieheretrue but I’m guessing the creator isn’t putting poison on her face (but there are lots of medicine too in modern day),중립,0,0
"Love this!!! As someone who loves history, this was interesting to watch. :)",긍정,1,0
Aw im glad!!🥰,중립,0,0
Gurll... You look gorgeous in the ancient make-up look. Literally straight out of some historical drama... (Giving me alchemy of souls vibe),중립,0,0
"Lovely
The pure ancient methods appeal even more",중립,0,0
Chemical free .,중립,0,0
Girl why aren't you going viral?😭😭😭💗💗💗,중립,0,0
"I have that anua pore cleanser, it is magical , quite affordable and works really good ❤",긍정,1,0
you look like shuhua from idle in the shot of you in the final results (you look so prettyyy💖💖💖),중립,0,0
Your skin looks so beautiful ♥️,중립,0,0
Your actually so pretty ❤,중립,0,0
The rice water toner is good in any time period like I had so much problems with my skin but after using rice water toner like my classmates compliment my skin SI much,긍정,1,0
i still use pea powder as my face cleanser + scrub.. it removes extra oil and exfoliates gently.. I'm not into chemical facewashes yet,중립,0,0
I love it! Natural goodness,긍정,1,0
You look best natural,긍정,1,0
I like the ancient one!,중립,0,0
"This is so fascinating! We sometimes forget that our ancestors knew already so much! Thanks so much for sharing, you are beautiful! 👍🏽🪶🍉❤️",중립,0,0
The old fashioned way is so beautiful,중립,0,0
Your wayy too pretty ( FOR REALL) 💗✨ luv uu,중립,0,0
"I love learning more abt other cultures , especially countries old skin care , hair styles , so this video was qo interesting even tho its shortt",긍정,1,0
Ancient one is an Diva,중립,0,0
just happy to hear lead wasn't involved,중립,0,0
I love natural more ❤,긍정,1,0
They also used cinnabar in China for lip colour. It was also used by Cleopatra . The thing is that it was an ore of mercury and was very poisonous.,중립,0,0
Cleopatra?,중립,0,0
​​@hanjisung-143-ilythanks I didn't know the spelling 😅,중립,0,0
Modern lip and eyebrows makeup with the modern makeup for the rest would look good on you.,긍정,1,0
Thnks ❤,중립,0,0
the ancient lips are FIREEEE,중립,0,0
Your nails 💅 is soooooo beautiful 😍😍😍😍😍😍😍,중립,0,0
Aww really thx🥰,중립,0,0
"I just want tell you, you're one of the most pretty and beautiful woman I've ever seen! Following you from the start! I hope the best for you ❤ 😊",긍정,1,0
The baddies were eating up even 2 centuries ago yazzzzz 😍✨️✨️,중립,0,0
The ancient way seemed more in harmony with the Earth,중립,0,0
"that’s so informative and cool, thank you:)",중립,0,0
"I guess ancient time was simple and less confusing 😅. In my culture we used turmeric, neem,besan,curd,lentil beans, butter, rose petals and water,sandalwood  powder, shankh powder, honey,rice starch,soap nuts,multani mati,rain water for skin care and for makeup they used shankh powder as base, charcoal powder mixed with oil as eyeliner, alta for feet and hand decorating also nail, mehedi leaves for nail stains, sidhur or tip or sometimes  used sidhur mixed with oil as lipstick or there were some types of flower petals or powder available to use as lipstick and some amber smell for hair. The only thing is these were only available for elites and middle class women",중립,0,0
Why does the left side low-key look better 👀,중립,0,0
Hahahaha right? Very clean & pure ancient vibe,중립,0,0
They look good both of them ... You did good with the ancient ways.  You can barely tell the difference 😊,긍정,2,0
Your skin is so pretty ❤😊,중립,0,0
Ty😍,중립,0,0
Welcome 🤗 cutie😊,중립,0,0
Her natural face is perfection,중립,0,0
Foundation name  please,중립,0,0
"Wow your so beautiful also Im going try this
❤️",중립,0,0
Ancient ❤,중립,0,0
"I like this series. Keep it up!

Other channels do clickbaits and obnoxious face masks with pictures attached of unreal results. Yours it very interesting and educational and real.",중립,0,0
"Aw thanks I want to try to empower, entertain and care for people who watch my videos. Thank you💕",중립,0,0
"such a cool video, thanks for researching",중립,0,0
I love your video ❤,긍정,1,0
Aw ty💕,중립,0,0
i still use homemade rice toner today lol,중립,0,0
You look like moon ga young the kdrama actress,중립,0,0
Y does the ancient side look better 😂😂,중립,0,0
I swear you would've been classified as one of the most well known beauties if you during that time ❤,중립,0,0
Aww ur voice is soo cute,중립,0,0
1825: what is “skincare?”,중립,0,0
good 💖,긍정,1,0
"I prefer 2025, but 1825 is natural and no allergic....🙃",중립,0,0
"I'm on my 2nd bottle of The Rice Toner from ""I'm From"" and there's not a single day that I don't get compliments from people ...even from strangers. My skin is plumped, dewy & just immaculately flawless ❤",중립,0,0
Love that!,긍정,1,0
Can you please give me the link 😢,중립,0,0
Does it lighten skin tone???,중립,0,0
"@awantikakhalkho3257 yes, it does. Be patient though. It took about a month to see the lightened skin but what's mind blowing is the glass skin texture & plumpness it brings",중립,0,0
@amitnath5571 YouTube kept deleting my response with a link but it's available at Amazon,중립,0,0
The rice toner is wonderful! I usually switch up during seasons.  But instantly restocked 3 more when i ran out. Overall brightens and hydrating!,중립,0,0
When do you apply? And the order of application please 🥺 I have dull skin.,중립,0,0
@sandhyap2221  I like it most during winter and fall cause of its hydrating. But I found myself usually throught the year. And right after cleansing.,중립,0,0
@selenasmith7943 thanks 🙏🏻,중립,0,0
Your skin type pls,중립,0,0
Where do u order from? I’ve seen a lot of fakes.,중립,0,0
The rice toner looks really good. I will be looking out for it. Thanks❤,긍정,1,0
"Everything will look good on her. I am a doctor and telling you with much sincerity. You should choose products based on your skin type. Plus don't go for white skin ,go for healthy skin❤❤❤❤❤",긍정,1,0
"I just need to know what's better for dry skin between this toner and the haruharu wonder because on one of her ""products for dry skin"" videos, she mentions the haruharu one, but here she says this rice toner is good for dry skin.... now idk if I should just keep using the haruharu after it's done or if I should switch to the rice toner",긍정,1,0
update? did you like it!????!!,중립,0,0
"​@DefinitelyNotAFerret I have this toner and I have dry skin. I don't find this toner very hydrating, there are other products that are wayyy hydrating than this. One that I liked was the propolis toner from COSRX",중립,0,0
If I be honest I purchased it and omg I thought it would work but it doesn’t for my combination skin !! IT GAVE ME SMALL CLEAR RED DOTS indicating that the product is not for me so I stopped using it . I wish I could give it to you to try too . But it might work for others,중립,0,0
"That cleansing oil is really good. I bought it on sale and though I’ve tried others such as Heimush much lauded cleansing balm, I keep going back to this one. It also has a citrus scent that I really like and is even better used with their manyo cleansing foam (but I’ve found I don’t need to on nights I’m very tired) if you like a two-step cleansing process. I can’t stop touching my skin as I can’t believe how clean it feels. But it’s not irritated or dry.",긍정,1,0
Does it sting the eyes?,중립,0,0
Hi! Can I ask if it stings your eyes? I have that trouble with a lot of different cleansing oils!,중립,0,0
"hello, dors it work for oily skin? 😢",중립,0,0
The cleansing balm from Heimish is great. And doesn’t irritate my eyes. Need to try this oil 👍,긍정,1,0
"The Skin 1004 & BOJ cleansing oil is wayyy better than Manyo , plus both are essential oil & fragrance feee unlike Manyo",중립,0,0
manyo cleansing oil was the first skincare product i spent this much money on and i've been using it ever since!! (for over a year) even after the first usage i saw major improvement and it LITERALLY CLEANSES ALL OF YOUR IMPURITIES and makes your skin feel sooo good 😭,긍정,1,0
@kutsuwi523 how much did it cost?,중립,0,0
"@gidle_skz_aespa around 30$ but it’s worth it, trust me",중립,0,0
What is your skin type?,중립,0,0
Skin type?,중립,0,0
does it actually works for sebaceous filaments,중립,0,0
The rice toner is amazing. That was the first product I ever used that made my super dry skin so hydrated it almost made my skin an oily type of skin 😂,긍정,1,0
I am purchasing the rice toner off of your comment alone. My dry skin is begging for that kind of hydration. 😅 Thank you!,중립,0,0
​@jewelsbarbie did it work,중립,0,0
